Haltestelle,E85454,S85318,E85320,S85458,"S85322
","S85324
","S85326
","E85328
",S85330,E85300,"E85488
","S85342
","E85490
","S85346
","S85468
","S85348
","E85492
","S85350
","S85352
","S85354
","E85494
","S85356
","S85470
","S85358
","E85496
","S85360
","S85472
","S85362
","E85498
",S85364,E85302,"S85366
","E85368
","S85370
","S85372
","S85374
"
Finanzamt,6.21,6.28,6.56,7.04,7.11,7.29,7.39,7.56,8.11,8.28,10.56,11.11,11.56,12.11,12.21,12.41,12.56,13.11,13.20,13.41,13.56,14.11,14.21,14.41,14.56,15.11,15.21,15.41,15.56,16.11,16.27,16.40,16.56,17.11,17.20,17.41
Friedensplatz,6.22,6.30,6.58,7.06,7.13,7.31,7.40,7.58,8.13,8.30,10.58,11.13,11.58,12.13,12.23,12.43,12.58,13.13,13.22,13.43,13.58,14.13,14.23,14.43,14.58,15.13,15.23,15.43,15.58,16.13,16.29,16.42,16.58,17.13,17.22,17.43
Harmonie,6.23,6.32,7.00,7.08,7.15,7.33,7.42,8.00,8.15,8.32,11.00,11.15,12.00,12.15,12.25,12.45,13.00,13.15,13.24,13.45,14.00,14.15,14.25,14.45,15.00,15.15,15.25,15.45,16.00,16.15,16.31,16.44,17.00,17.15,17.24,17.45
Rathaus,6.25,6.34,7.02,7.10,7.17,7.35,7.44,8.02,8.17,8.34,11.02,11.17,12.02,12.17,12.27,12.47,13.02,13.17,13.26,13.47,14.02,14.17,14.27,14.47,15.02,15.17,15.27,15.47,16.02,16.17,16.33,16.46,17.02,17.17,17.26,17.47
Neckar-Turm am K.-Schum.-Pl.,6.26,6.36,7.04,7.12,7.19,7.37,7.46,8.04,8.19,8.36,11.04,11.19,12.04,12.19,12.29,12.49,13.04,13.19,13.28,13.49,14.04,14.19,14.29,14.49,15.04,15.19,15.29,15.49,16.04,16.19,16.35,16.48,17.04,17.19,17.28,17.49
Hbf/Willy-Brandt-Platz,6.28,6.37,7.05,7.13,7.20,7.38,7.48,8.05,8.20,8.37,11.05,11.20,12.05,12.20,12.30,12.50,13.05,13.20,13.29,13.50,14.05,14.20,14.30,14.50,15.05,15.20,15.30,15.50,16.05,16.20,16.36,16.49,17.05,17.20,17.29,17.50
Hbf/Willy-Brandt-Platz (ab),6.30,6.39,7.07,7.15,7.20,7.39,7.48,8.07,8.22,8.39,11.07,11.22,12.07,12.22,12.30,12.50,13.07,13.22,13.29,13.50,14.07,14.22,14.30,14.50,15.07,15.22,15.30,15.50,16.07,16.22,16.38,16.51,17.07,17.22,17.29,17.50
Böckingen Sonnenbrunnen,6.32,6.41,,7.17,7.22,7.41,7.50,,8.24,,,11.24,,12.24,12.32,12.52,,13.24,13.31,13.52,,14.24,14.32,14.52,,15.24,15.32,15.52,,16.24,,16.53,,17.24,17.31,17.52
Berufsschulzentrum,6.33,6.42,,7.19,7.23,7.42,7.51,,8.25,,,11.25,,12.25,12.34,12.53,13.09,13.25,13.33,13.53,,14.25,14.34,14.53,,15.25,15.34,15.53,,16.25,,16.54,,17.25,17.33,17.53
Böckingen West,6.35,6.44,,7.20,7.25,7.44,7.53,,8.27,,,11.27,,12.27,12.36,12.55,,13.27,13.34,13.55,,14.27,14.36,14.55,,15.27,15.36,15.55,,16.27,,16.56,,17.27,17.34,17.55
Leingarten Ost,6.38,6.47,,7.23,7.28,7.47,7.56,,8.30,,,11.30,,12.30,12.38,12.58,,13.30,13.37,13.58,,14.30,14.38,14.58,,15.30,15.38,15.58,,16.30,,16.59,,17.30,17.37,17.58
Leingarten,6.39,6.48,7.12,7.24,7.29,7.48,7.57,8.12,8.31,,11.12,11.31,12.12,12.31,12.40,12.59,13.13,13.31,13.39,13.59,14.12,14.31,14.40,14.59,15.12,15.31,15.40,15.59,16.12,16.31,,17.00,17.12,17.31,17.39,17.59
Mitte,6.40,6.49,,7.26,7.31,7.49,7.58,,8.32,,,11.32,,12.32,12.41,13.01,,13.32,13.40,14.01,,14.32,14.41,15.01,,15.32,15.41,16.01,,16.32,,17.01,,17.32,17.40,18.01
Mitte West,6.42,6.51,,7.27,7.32,7.51,8.00,,8.34,,,11.34,,12.34,12.42,13.02,,13.34,13.41,14.02,,14.34,14.42,15.02,,15.34,15.42,16.02,,16.34,,17.03,,17.34,17.41,18.02
Schwaigern Ost,6.44,6.54,,7.30,7.35,7.53,8.02,,8.37,,,11.37,,12.37,12.45,13.05,,13.37,13.44,14.05,,14.37,14.45,15.05,,15.37,15.45,16.05,,16.37,,17.06,,17.37,17.44,18.05
Schwaigern (Württ.),6.46,6.55,7.16,7.31,7.37,7.55,8.04,8.16,8.38,,11.16,11.38,12.16,12.38,12.47,13.07,13.17,13.38,13.46,14.07,14.16,14.38,14.47,15.07,15.16,15.38,15.47,16.07,16.16,16.38,,17.07,17.16,17.38,17.46,18.07
Schwaigern West,6.48,6.57,,7.33,7.38,7.57,8.05,,8.40,,,11.40,,12.40,12.49,13.08,,13.40,13.48,14.08,,14.40,14.49,15.08,,15.40,15.49,16.08,,16.40,,17.09,,17.40,17.48,18.08
Stetten am Heuchelberg,6.51,,7.20,7.37,,7.59,,8.20,8.43,,11.20,,12.20,,12.51,,13.20,13.42,13.50,,14.20,,14.51,,15.20,,15.51,,16.20,16.43,,,17.20,,17.50,
Gemmingen,6.55,,7.23,7.40,,8.02,,8.23,8.46,,11.23,,12.23,,12.57,,13.23,13.45,13.56,,14.23,,14.57,,15.23,,15.57,,16.23,16.46,,,17.23,,17.56,
Gemmingen West,6.56,,,7.42,,8.03,,,8.47,,,,,,12.59,,,13.47,13.58,,,,14.59,,,,15.59,,,16.47,,,,,17.57,
Eppingen,7.00,,7.28,7.46,,8.08,,8.28,8.52,8.57,11.28,,12.28,,13.03,,13.28,13.51,14.02,,14.28,,15.03,,15.28,,16.03,,16.28,16.52,16.56,,17.28,,18.02,
Eppingen (ab),7.03,,7.31,7.46,,8.09,,8.31,,,11.31,,12.31,,13.07,,13.31,,14.06,,14.31,,15.07,,15.31,,16.07,,16.31,,16.59,,17.31,,18.06,
Eppingen West,7.04,,,7.48,,8.10,,,,,,,,,13.09,,,,14.08,,,,15.09,,,,16.09,,,,,,,,18.07,
Sulzfeld,7.09,,7.36,7.53,,8.15,,8.36,,,11.36,,12.36,,13.14,,13.36,,14.13,,14.36,,15.14,,15.36,,16.14,,16.36,,,,17.36,,18.12,
